"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","video-keyboard-response","214","405869","0.0-5.0-1.97","1543","[""videos/med_low_c5_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","215","406370","0.0-5.0-0.98","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","216","407954","0.0-5.0-1.98","1582","[""videos/slow_low_c4_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","217","408706","0.0-5.0-0.99","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","218","410344","0.0-5.0-1.99","1636","[""videos/fast_med_c17_purple_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","219","411095","0.0-5.0-0.100","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","220","412379","0.0-5.0-1.100","1282","[""videos/slow_low_c2_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","221","413380","0.0-5.0-0.101","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","222","414760","0.0-5.0-1.101","1378","[""videos/slow_low_c1_teal_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","223","415512","0.0-5.0-0.102","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","224","416871","0.0-5.0-1.102","1358","[""videos/fast_high_c4_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","225","417373","0.0-5.0-0.103","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","226","418825","0.0-5.0-1.103","1450","[""videos/slow_high_c2_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","227","419827","0.0-5.0-0.104","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
